e ɪ̯	A
ɡ ɹ a ʊ n d s ə l	g r o u n d s e l
ɡ ɹ a ʊ n s ə l	g r o u n d s e l
ɡ ɹ a ʊ n d s ə l	g r o u n d s i l l
ɡ ɹ uː p	g r o u p
ɡ ɹ uː p t	g r o u p e d
ɡ ɹ uː p ə ɹ	g r o u p e r
ɡ ɹ uː p i	g r o u p i e
ɡ ɹ uː p ɪ ŋ	g r o u p i n g
ɡ ɹ uː p ɪ ŋ z	g r o u p i n g s
ɡ ɹ uː p s	g r o u p s
ɡ ɹ uː p θ ɪ ŋ k	g r o u p t h i n k
ɡ ɹ uː p ə s k j uː l	g r o u p u s c u l e
ɡ ɹ a ʊ s	g r o u s e
ɡ ɹ a ʊ t	g r o u t
ɡ ɹ a ʊ t f ɪ t	g r o u t f i t
ɡ ɹ ə ʊ v	g r o v e
ɡ ɹ ə ʊ v z	g r o v e s
ɡ ɹ ə ʊ v i	g r o v y
ɡ ɹ ə ʊ	g r o w
ɡ ɹ ə ʊ ɪ ŋ	g r o w i n g
ɡ ɹ a ʊ l	g r o w l
ɡ ɹ a ʊ l d	g r o w l e d
ɡ ɹ a ʊ l ə	g r o w l e r
ɡ ɹ a ʊ l z	g r o w l s
ɡ ɹ ə ʊ n	g r o w n
ɡ ɹ ə ʊ z	g r o w s
ɡ ɹ ə ʊ θ	g r o w t h
ɡ ɹ ɔ ɪ n	g r o y n e
ɡ r ɔ ɪ p ɝ	g r o y p e r
ɡ ɹ ʌ b	g r u b
ɡ ɹ ʌ b d	g r u b b e d
ɡ ɹ ʌ b ɪ ŋ	g r u b b i n g
ɡ ɹ ʌ b ɪ ŋ z	g r u b b i n g s
ɡ ɹ ʌ b i	g r u b b y
ɡ ɹ ʌ b z	g r u b s
ɡ ɹ ʌ d͡ʒ	g r u d g e
ɡ ɹ ʌ d͡ʒ d	g r u d g e d
ɡ ɹ ʌ d͡ʒ f ə l	g r u d g e f u l
ɡ ɹ ʌ d͡ʒ ɪ z	g r u d g e s
ɡ ɹ ʌ d ʒ ɪ ŋ	g r u d g i n g
ɡ ɹ uː	g r u e
ɡ ɹ uː l ɪ ŋ	g r u e l i n g
ɡ ɹ ʊ ə l ɪ ŋ	g r u e l l i n g
ɡ ɹ uː z	g r u e s
ɡ ɹ uː s ʌ m	g r u e s o m e
ɡ ɹ ʌ f	g r u f f
ɡ ɹ ʌ f ɪ ʃ	g r u f f i s h
ɡ ɹ a ɪ t	g r u i t
ɡ ɹ ʌ m	g r u m
ɡ ɹ ʌ m b l̩	g r u m b l e
ɡ ɹ uː m	g r u m e
ɡ ɹ ʌ m l i	g r u m l y
ɡ ɹ ʌ m ə l	g r u m m e l
ɡ ɹ ə m ɚ	g r u m m e r
ɡ ɹ ə m ɪ s t	g r u m m e s t
ɡ ɹ ʌ m p	g r u m p
ɡ ɹ ʌ m p t	g r u m p e d
ɡ ɹ ʌ m p ɪ ŋ	g r u m p i n g
ɡ ɹ ʌ m p s	g r u m p s
ɡ ɹ ʌ m p i	g r u m p y
ɡ ɹ ʌ n d ə l	g r u n d l e
ɡ ɹ ʌ n d͡ʒ	g r u n g e
ɡ ɹ ʌ n d͡ʒ i	g r u n g y
ɡ ɹ ʌ n j ə n	g r u n i o n
ɡ ɹ ʌ ŋ k ə ɫ	g r u n k l e
ɡ ɹ ʌ n t	g r u n t
ɡ ɹ ʌ n t ɪ d	g r u n t e d
ɡ ɹ ʌ n t ə	g r u n t e r
ɡ ɹ ʌ n t ɪ ŋ	g r u n t i n g
ɡ ɹ ʌ n t ɪ ŋ z	g r u n t i n g s
ɡ ɹ ʌ n t l̩ d	g r u n t l e d
ɡ ɹ ʌ n t l ɪ ŋ	g r u n t l i n g
ɡ ɹ ʌ n t ə l ɪ ŋ	g r u n t l i n g
ɡ ɹ ʌ n t s	g r u n t s
ɡ ɹ ʌ t͡ʃ	g r u t c h
ɡ ɹ a ɪ̯	g r y
d͡ʒ iː s k j uː	g s k e w
ɡ w æ k	g u a c
ɡ w ɑː k	g u a c
ɡ w a ɪ ə k ə m	g u a i a c u m
ɡ w a ɪ f ɛ n ɪ s ɪ n	g u a i f e n e s i n
ɡ w ɑ n	g u a n
ɡ w ə n ɑː k ə ʊ	g u a n a c o
ɡ w ɑ n d a ʊ	g u a n d a o
ɡ w ɑː n iː n	g u a n i n e
ɡ w ɑː n iː n z	g u a n i n e s
ɡ w ɑː n ə ʊ	g u a n o
k w a n ʃ i	g u a n x i
ɡ w a n ʃ i	g u a n x i
ɡ w ɑː n ɪ l e ɪ t	g u a n y l a t e
ɡ w ɑ ɹ ə	g u a r a
ɡ w ə ɹ ɑː n ə	g u a r a n a
ɡ w ɑː ɹ ə n iː n	g u a r a n i n e
ɡ æ ɹ ə n t iː	g u a r a n t e e
ɡ æ ɹ ə n t ɔː ɹ	g u a r a n t o r
ɡ æ ɹ ə n t ə ɹ	g u a r a n t o r
ɡ æ ɹ ə n t i	g u a r a n t y
ɡ ɑː d	g u a r d
ɡ ɑː ɹ d ɪ d͡ʒ	g u a r d a g e
ɡ ɑː ɹ d ə n t	g u a r d a n t
ɡ ɑː d ɪ d	g u a r d e d
ɡ ɑː ɹ d ə n ɪ d͡ʒ	g u a r d e n a g e
ɡ ɑː d ə	g u a r d e r
ɡ ɑː d ɪ ə n	g u a r d i a n
ɡ ɑː d i ə n s i	g u a r d i a n c y
ɡ ɑː d ɪ ɛ n	g u a r d i e n n e
ɡ ɑː d z	g u a r d s
ɡ w ɑ ɹ i	g u a r r i
ɡ ʌ b ɪ n z	g u b b i n s
ɡ j uː b ə n a k j ʊ l ə m	g u b e r n a c u l u m
ɡ j uː b ə n ə t ɔː ɹ i ə l	g u b e r n a t o r i a l
ɡ ʌ b ɪ n d͡ʒ	g u b i n g e
ɡ ʌ b m ɪ n t	g u b m i n t
ɡ ʌ k	g u c k
ɡ ʌ d ə l	g u d d l e
ɡ ʌ d ʒ	g u d g e
ɡ ʌ d ʒ ə n	g u d g e o n
ɡ j uː	g u e
ɡ w ɛ n ə n	g u e n o n
ɡ ə n o ʊ n	g u e n o n
ɡ əː d ə n	g u e r d o n
ɡ ə r ɛ z ə	g u e r e z a
ɡ ɜː n z i	g u e r n s e y
ɡ ə ɹ ɪ l ə	g u e r r i l l a
ɡ ɛ ɹ ɪ j ɛ ə ɹ ə ʊ	g u e r r i l l e r o
ɡ ɛ ɹ ɪ l j ɛ ə ɹ ə ʊ	g u e r r i l l e r o
ɡ ɛ s	g u e s s
ɡ ɛ s t	g u e s s e d
ɡ ɛ s ɪ z	g u e s s e s
ɡ ɛ s ɪ ŋ	g u e s s i n g
ɡ ɛ s ɪ ŋ z	g u e s s i n g s
ɡ ɛ s t	g u e s t
ɡ ɛ s t h a ʊ s	g u e s t h o u s e
ɡ ɛ s t s	g u e s t s
ɡ ʌ f	g u f f
ɡ ə f ɔː	g u f f a w
ɡ ʊ ə ɹ	g u h r
ɡ iː ʃ	g u i c h e
ɡ a ɪ d ə n s	g u i d a n c e
ɡ a ɪ d	g u i d e
ɡ a ɪ d ɪ d	g u i d e d
ɡ a ɪ d z	g u i d e s
ɡ a ɪ d ɪ ŋ	g u i d i n g
ɡ a ɪ d ɪ ŋ z	g u i d i n g s
ɡ w iː d ə ʊ	g u i d o
ɡ a ɪ d n̩	g u i d o n
ɡ a ɪ d ɒ n	g u i d o n
ɡ iː d͡ʒ	g u i g e
ɡ iː ʒ	g u i g e
ɡ ɪ l d	g u i l d
ɡ ɪ l d ə	g u i l d e r
ɡ ɪ l d z	g u i l d s
ɡ ɪ l d z m ə n	g u i l d s m a n
ɡ a ɪ l	g u i l e
ɡ a ɪ l d	g u i l e d
ɡ ʌ ɪ l f ə l i	g u i l e f u l l y
ɡ a ɪ l l ə s	g u i l e l e s s
ɡ a ɪ l z	g u i l e s
ɡ a ɪ l ɪ ŋ	g u i l i n g
ɡ i j ə m e ɪ	g u i l l e m e t
ɡ i m e ɪ	g u i l l e m e t
ɡ ɪ l ə m ɛ t	g u i l l e m e t
ɡ i j ə m e ɪ z	g u i l l e m e t s
ɡ i m e ɪ z	g u i l l e m e t s
ɡ ɪ l ə m ɛ t s	g u i l l e m e t s
ɡ ɪ l ɪ m ɒ t	g u i l l e m o t
ɡ ɪ l ɒ ʃ	g u i l l o c h e
ɡ iː j ə t iː n	g u i l l o t i n e
ɡ ɪ l ə t iː n	g u i l l o t i n e
ɡ ɪ l t	g u i l t
ɡ ɪ l t ɪ d	g u i l t e d
ɡ ɪ l t ɪ l i	g u i l t i l y
ɡ ɪ l t ɪ ŋ	g u i l t i n g
ɡ ɪ l t l ə s	g u i l t l e s s
ɡ ɪ l t s	g u i l t s
ɡ ɪ l t i	g u i l t y
ɡ ɪ m p	g u i m p e
ɡ ɪ n i	g u i n e a
ɡ æ ŋ ɡ ɛ t	g u i n g u e t t e
ɡ iː p j ʊ ə	g u i p u r e
ɡ w a ɪ ɹ ə ʊ	g u i r o
ɡ a ɪ z	g u i s e
ɡ a ɪ z ɪ z	g u i s e s
ɡ ɪ t ɑː ɹ	g u i t a r
ɡ ə t ɑː ɹ m ə n i	g u i t a r m o n y
ɡ j uː l ə	g u l a
ɡ uː l ɑ k	g u l a g
ɡ uː l ɑ ɡ	g u l a g
ɡ j uː l ə	g u l a r
ɡ uː l ɑː	g u l a r
ɡ ʌ l t͡ʃ	g u l c h
ɡ ʌ l t͡ʃ ɪ z	g u l c h e s
ɡ ʌ l d ə ɹ	g u l d e r
ɡ j uː l	g u l e
ɡ j uː l z	g u l e s
ɡ ʌ l f	g u l f
ɡ ʌ l f s	g u l f s
ɡ ʌ l f i	g u l f y
ɡ ʌ l	g u l l
ɡ ʌ l d	g u l l e d
ɡ ʌ l ə t	g u l l e t
ɡ ʌ l ɪ t	g u l l e t
ɡ ʌ l ə b ɪ l ə t i	g u l l i b i l i t y
ɡ ʌ l ɪ b ɪ l ɪ t i	g u l l i b i l i t y
ɡ ʌ l ɪ b l̩	g u l l i b l e
ɡ ʌ l ɪ b l i	g u l l i b l y
ɡ ʌ l i d	g u l l i e d
ɡ ʌ l i z	g u l l i e s
ɡ ʌ l ɪ ŋ	g u l l i n g
ɡ ʌ l i ə n	g u l l i o n
ɡ ʌ l ɪ ʃ	g u l l i s h
ɡ ʌ l ɪ v ə ɹ	g u l l i v e r
ɡ ʌ l z	g u l l s
ɡ ʌ l i	g u l l y
ɡ ʌ l p	g u l p
ɡ ʌ l p t	g u l p e d
ɡ ʌ l p ɪ ŋ	g u l p i n g
ɡ ʌ l p ɪ ŋ z	g u l p i n g s
ɡ ʌ l p s	g u l p s
ɡ ʌ m	g u m
ɡ ʌ m d ɹ ɒ p	g u m d r o p
ɡ ʌ m d	g u m m e d
ɡ ʌ m ɪ ŋ	g u m m i n g
ɡ ʌ m ɪ ŋ z	g u m m i n g s
ɡ ʌ m i	g u m m y
ɡ ʌ m p	g u m p
ɡ ʌ m p ʃ ə n	g u m p t i o n
ɡ ʌ m z	g u m s
ɡ ʌ m ʃ uː	g u m s h o e
ɡ ʌ n	g u n
ɡ ʊ n ə	g u n a
ɡ ʌ n d ə l ə t	g u n d e l e t
ɡ ʌ n f ʌ ɪ ə	g u n f i r e
ɡ ʌ n d͡ʒ	g u n g e
ɡ ʌ n d͡ʒ iː	g u n g y
ɡ ʌ n a ɪ t	g u n i t e
ɡ ʌ ŋ k	g u n k
ɡ ʌ n l ɒ k	g u n l o c k
ɡ ʌ n l ɒ k s	g u n l o c k s
ɡ ʌ n m ɛ t ə l	g u n m e t a l
ɡ ʌ n d	g u n n e d
ɡ ʌ n ə l	g u n n e l
ɡ ʌ n ə ɹ	g u n n e r
ɡ ʌ n ə ɹ i	g u n n e r y
ɡ ʌ n i	g u n n y
ɡ ʌ n p ɔ ɪ n t	g u n p o i n t
ɡ ʌ n p ə ʊ k	g u n p o k e
ɡ ʌ n p a ʊ d ə	g u n p o w d e r
ɡ ʌ n z	g u n s
ɡ ʌ n s ə l	g u n s e l
ɡ ʌ n ʃ ɪ p	g u n s h i p
ɡ ʌ n ʃ a ɪ	g u n s h y
ɡ ʌ n ə l	g u n w a l e
ɡ ʌ n z l̩	g u n z e l
ɡ w o ʊ t͡ʃ ɪ ŋ	g u o q i n g
ɡ w o ʊ ʃ w e ɪ	g u o x u e
ɡ ʌ p	g u p
ɡ ʌ p i	g u p p i e
ɡ ʌ p i	g u p p y
ɡ uː t͡ʃ iː n	g u q i n
ɡ ɜː d ʒ	g u r g e
ɡ ɜː ɹ d͡ʒ ə n z	g u r g e o n s
ɡ ɜː ɹ d͡ʒ ɪ n z	g u r g e o n s
ɡ ɜː d͡ʒ iː z	g u r g e s
ɡ ɜː d ʒ ɪ t e ɪ ʃ ə n	g u r g i t a t i o n
ɡ ɜː d ʒ ɪ t e ɪ t ə	g u r g i t a t o r
ɡ ɜː ɡ l̩	g u r g l e
ɡ ɜː l	g u r l
ɡ ɜː ɹ n	g u r n
ɡ ɜː n ə d	g u r n a r d
ɡ ʌ ɹ ɪ ə	g u r r i e r
ɡ ɜː t	g u r t
ɡ ɝː t	g u r t
ɡ uː ɹ uː	g u r u
ɡ ʊ ɹ uː	g u r u
ɡ uː ɹ uː z	g u r u s
ɡ ʊ ɹ uː z	g u r u s
ɡ ʌ ʃ	g u s h
ɡ ʌ ʃ t	g u s h e d
ɡ ʌ ʃ ɪ z	g u s h e s
ɡ ʌ ʃ ɪ ŋ	g u s h i n g
ɡ ʌ ʃ ɪ ŋ z	g u s h i n g s
ɡ ʊ s l ə	g u s l a
ɡ ʊ s l ə	g u s l e
ɡ ʌ s ɪ t	g u s s e t
ɡ ʊ s i	g u s s y
ɡ ʌ s i	g u s s y
ɡ ʌ s t	g u s t
ɡ ʌ s t ə b ə l	g u s t a b l e
ɡ ʌ s t ə t ə ɹ i	g u s t a t o r y
ɡ ʌ s t ə t ɹ i	g u s t a t o r y
ɡ ʌ s t ɪ d	g u s t e d
ɡ ʌ s t f ə l n ə s	g u s t f u l n e s s
ɡ ʌ s t ɪ ŋ	g u s t i n g
ɡ ʌ s t l ə s	g u s t l e s s
ɡ ʌ s t ə ʊ	g u s t o
ɡ ʌ s t s	g u s t s
ɡ ʌ s t i	g u s t y
ɡ ʌ t	g u t
ɡ ʌ t b ɹ ɛ d	g u t b r e a d
ɡ ʌ t s	g u t s
ɡ ʌ t s i	g u t s y
ɡ ʌ t ə	g u t t a
ɡ ʌ t e ɪ t ɪ m	g u t t a t i m
ɡ ʌ t ɪ d	g u t t e d
ɡ ʌ t ə	g u t t e r
ɡ ʌ t ɪ ŋ	g u t t i n g
ɡ ʌ t ɪ ŋ z	g u t t i n g s
ɡ ʌ t l̩	g u t t l e
ɡ ʌ t j ʊ l ə s	g u t t u l o u s
ɡ ʌ t ə ɹ ə l	g u t t u r a l
ɡ ʌ v m ɪ n t	g u v m i n t
ɡ a ɪ	g u y
ɡ a ɪ d	g u y e d
ɡ iː ə ʊ	g u y o t
ɡ a ɪ z	g u y s
ɡ a ɪ v ə	g u y v e r
ɡ ʌ z	g u z
ɡ j uː z	g u z e
ɡ uː d͡ʒ ʌ ŋ	g u z h e n g
ɡ ʌ z ə l	g u z z l e
ɡ w iː p	g w e e p
ɡ w ɪ n iː ɑː ɹ d	g w y n i a d
ɡ j æ ɹ uː	g y a r u
ɡ j ɑː ɹ uː	g y a r u
ɡ j æ t	g y a t t
d͡ʒ a ɪ b	g y b e
ɡ ɪ l ə n i	g y l a n y
ɡ a ɪ l	g y l e
d͡ʒ ɪ m	g y m
d͡ʒ ɪ m k ɑ n ə	g y m k h a n a
d͡ʒ ɪ m l ə t	g y m l e t
d ʒ ɪ m n æ s t	g y m n a s t
d͡ʒ ɪ m n æ s t ɪ k	g y m n a s t i c
d͡ʒ ɪ m n æ s t ɪ k s	g y m n a s t i c s
d ʒ ɪ m n ɪ k	g y m n i c
d͡ʒ ɪ m n ɒ s ə f ɪ s t	g y m n o s o p h i s t
d͡ʒ ɪ m z	g y m s
ɡ a ɪ n ə k ɒ l ə d ʒ ɪ s t	g y n a e c o l o g i s t
ɡ a ɪ n ɪ k ə m æ s t i	g y n a e c o m a s t y
ɡ a ɪ n ɪ k ə f ə ʊ b ɪ ə	g y n a e c o p h o b i a
ɡ a ɪ n ɑː k i	g y n a r c h y
ɡ a ɪ n ə k ɒ l ə d͡ʒ ɪ s t	g y n e c o l o g i s t
d ʒ a ɪ n ɪ k ɒ l ə d ʒ i	g y n e c o l o g y
ɡ a ɪ n ɪ k ɒ l ə d ʒ i	g y n e c o l o g y
ɡ a ɪ n ɪ k ə ʊ m æ s t ɪ ə	g y n e c o m a s t i a
ɡ a ɪ n ɪ k ə m æ s t i	g y n e c o m a s t y
d͡ʒ a ɪ n i ɒ l ə t ɹ i	g y n e o l a t r y
ɡ a ɪ n i ɒ l ə t ɹ i	g y n e o l a t r y
ɡ ʌ ɪ n ə s ʌ ɪ d	g y n o c i d e
ɡ a ɪ n iː s i ə m	g y n o e c i u m
ɡ a ɪ n ɔ ɪ d	g y n o i d
ɡ j o ʊ z ə	g y o z a
ɡ j ɒ z ə	g y o z a
d͡ʒ ɪ p	g y p
d͡ʒ ɪ p ɹ ɒ k ə ɹ	g y p r o c k e r
d͡ʒ ɪ p s ə m	g y p s u m
d͡ʒ ɪ p s i	g y p s y
d ʒ a ɪ ɹ e ɪ t	g y r a t e
d ʒ a ɪ ə ɹ e ɪ ʃ ə n	g y r a t i o n
d͡ʒ a ɪ ɹ e ɪ t ə ɹ i	g y r a t o r y
d͡ʒ a ɪ ɹ ə t ə ɹ i	g y r a t o r y
d͡ʒ a ɪ ə	g y r e
d ʒ ɜː f ɔː l k ə n	g y r f a l c o n
d͡ʒ a ɪ ɹ a ɪ	g y r i
d͡ʒ a ɪ ɹ o ʊ	g y r o
d͡ʒ a ɪ ɹ ə ʊ	g y r o
j iː ɹ o ʊ	g y r o
j ɪ ɹ o ʊ	g y r o
ʒ ɪ ɹ o ʊ	g y r o
d ʒ a ɪ ɹ ə ʊ f ə ʊ t ə ʊ t æ k t ɪ k	g y r o p h o t o t a c t i c
d͡ʒ a ɪ ɹ o ʊ s	g y r o s
d͡ʒ a ɪ ɹ o ʊ z	g y r o s
d͡ʒ iː ɹ o ʊ s	g y r o s
d͡ʒ iː ɹ o ʊ z	g y r o s
j iː ɹ o ʊ s	g y r o s
j iː ɹ o ʊ z	g y r o s
ɡ iː ɹ o s	g y r o s
ɡ iː ɹ o z	g y r o s
d͡ʒ a ɪ ɹ ə ʊ s	g y r o s e
d͡ʒ a ɪ ɹ ə t æ k t ɪ k	g y r o t a c t i c
d͡ʒ a ɪ ɹ ə s	g y r u s
ɡ i θ j a	g y t h j a
d͡ʒ a ɪ v	g y v e
ɡ a ɪ v	g y v e
d͡ʒ iː z ɪ p	g z i p
e ɪ t͡ʃ	h
h ɑː	h a
h ɑ f	h a a f
h ɑː ɹ	h a a r
h ɑː ɹ d ə ɹ	h a a r d e r
h ɑː b ə n ɛ ɹ ə ʊ	h a b a n e r o
h æ b ə ɹ d æ ʃ	h a b e r d a s h
h a b ə d͡ʒ ə n	h a b e r g e o n
h ə b ɜː d ʒ ə n	h a b e r g e o n
h ə b ɪ l ə t ə ɹ i	h a b i l a t o r y
h ə b ɪ l ə t ɹ i	h a b i l a t o r y
h ə b ɪ l ɪ t e ɪ ʃ ə n	h a b i l i t a t i o n
h æ b ɪ t	h a b i t
h æ b ɪ t e ɪ ʃ ə n	h a b i t a t i o n
h æ b ɪ t e ɪ ʃ ə n ə l	h a b i t a t i o n a l
h æ b ɪ t s	h a b i t s
h ə b ɪ t ʃ w ə l	h a b i t u a l
h ə b ɪ t ʃ ʊ ə l	h a b i t u a l
h ə b ɪ t j u ə l i	h a b i t u a l l y
h ə b ɪ t͡ʃ u ə l i	h a b i t u a l l y
h ə b ɪ t͡ʃ ə l i	h a b i t u a l l y
h ə b ɪ t j u e ɪ t	h a b i t u a t e
h ə b ɪ t͡ʃ u e ɪ t	h a b i t u a t e
h ə b ɪ t j u e ɪ ʃ ə n	h a b i t u a t i o n
h ə b ɪ t͡ʃ u e ɪ ʃ ə n	h a b i t u a t i o n
h ə b ɪ t͡ʃ ʊ e ɪ ʃ ə n	h a b i t u a t i o n
h æ b ɪ t j uː d	h a b i t u d e
h ə b uː b	h a b o o b
h ə b uː s	h a b o u s
h e ɪ s	h a c e
h æ ʃ j ʊ ə	h a c h u r e
h æ s i ɛ n d ə	h a c i e n d a
h æ k	h a c k
h æ k ə m ɔː	h a c k a m o r e
h æ k ə θ ɒ n	h a c k a t h o n
h æ k t	h a c k e d
h æ k ə	h a c k e r
h æ k ɪ ŋ	h a c k i n g
h æ k ə l	h a c k l e
h æ k n i	h a c k n e y
h æ k n iː d	h a c k n e y e d
h æ k s	h a c k s
h æ k j u z e ɪ t	h a c k u s a t e
h æ k j ə z e ɪ t	h a c k u s a t e
h æ k j u z e ɪ ʃ ə n	h a c k u s a t i o n
h æ k j ə z e ɪ ʃ ə n	h a c k u s a t i o n
h e ɪ d ə l	h a d a l
h æ d ə ɹ	h a d d e r
h æ d i	h a d d i e
h æ d ə k	h a d d o c k
h æ d i	h a d d y
h e ɪ d	h a d e
h ɑː d͡ʒ ɪ z	h a d j e s
h æ d ɹ ə ʊ k ɛ m ɪ s t ɹ i	h a d r o c h e m i s t r y
h æ d ɹ ɒ n	h a d r o n
h iː k s iː ə t i k	h a e c c e i t i c
h ɛ k s iː ə t i k	h a e c c e i t i c
h iː k s iː ə t ɪ z ə m	h a e c c e i t i s m
h ɛ k s iː ə t ɪ z ə m	h a e c c e i t i s m
h iː k s iː ə t ɪ s t	h a e c c e i t i s t
h ɛ k s iː ə t ɪ s t	h a e c c e i t i s t
h iː k s iː ə t ɪ s t i k	h a e c c e i t i s t i c
h ɛ k s iː ə t ɪ s t i k	h a e c c e i t i s t i c
h iː k s iː ə t ɪ s t i k l i	h a e c c e i t i s t i c a l l y
h ɛ k s iː ə t ɪ s t i k l i	h a e c c e i t i s t i c a l l y
h iː k s iː ə t iː	h a e c c e i t y
h ɛ k s iː ə t iː	h a e c c e i t y
h iː d a ɪ n	h a e d i n e
h iː m	h a e m
h iː m æ d	h a e m a d
h iː m ə t a ɪ d ɹ ə ʊ s ɪ s	h a e m a t i d r o s i s
h iː m ə t ɒ l ə d ʒ i	h a e m a t o l o g y
h ɪ m æ t ə f e ɪ ɡ ə s	h a e m a t o p h a g o u s
h iː m ə s iː l	h a e m o c o e l
h iː m ə ʊ ɡ l ə ʊ b ɪ n	h a e m o g l o b i n
h iː m ə ɡ l ə ʊ b ɪ n ɒ p ə θ i	h a e m o g l o b i n o p a t h y
h iː m ə n i	h a e m o n y
h iː m ə ʊ p iː s ɪ s	h a e m o p o i e s i s
h ɛ m ə ɹ ɪ d͡ʒ	h a e m o r r h a g e
h ɛ m ɹ ɪ d͡ʒ	h a e m o r r h a g e
h ɛ m ə ɹ ɔ ɪ d z	h a e m o r r h o i d s
h ɛ m ɹ ɔ ɪ d z	h a e m o r r h o i d s
h iː m ɒ s t ə s iː z	h a e m o s t a s e s
h ɑː f ɪ z	h a f i z
h æ f n i ə m	h a f n i u m
h ɑː f t	h a f t
h æ f t ə	h a f t a
h æ ɡ	h a g
h æ ɡ ə d	h a g g a r d
h æ ɡ ə ɹ d l i	h a g g a r d l y
h æ ɡ d	h a g g e d
h æ ɡ ɪ d	h a g g e d
h æ ɡ ɪ ŋ	h a g g i n g
h æ ɡ ɪ s	h a g g i s
h ɑː d ʒ i s	h a g g i s
h æ ɡ ə l	h a g g l e
h e ɪ d ʒ i ɑː ɹ k i	h a g i a r c h y
h æ d ʒ i ɑː ɹ k i	h a g i a r c h y
h æ ɡ i ɒ ɡ ɹ ə f ə	h a g i o g r a p h e r
h æ ɡ i o ʊ ɡ ɹ æ f ɪ k	h a g i o g r a p h i c
h æ ɡ i ɒ ɡ ɹ ə f i	h a g i o g r a p h y
h a ɡ i ɒ l ə t ɹ i	h a g i o l a t r y
h æ ɡ z	h a g s
h ɑː	h a h
h a ɪ̯	h a i
h a ɪ k uː	h a i k u
h e ɪ l	h a i l
h e ɪ l d	h a i l e d
h e ɪ l ə	h a i l e r
h e ɪ l ɪ ŋ	h a i l i n g
h e ɪ l ɪ ŋ z	h a i l i n g s
h e ɪ l z	h a i l s
h e ɪ n t	h a i n t
h ɛ ə	h a i r
h ɛ ə ɹ b ə ʊ	h a i r b o w
h ɛ ə k ʌ l ɚ	h a i r c o l o r
h ɛ ɚ k ʌ l ɚ	h a i r c o l o r
h ɛ ə ɹ k ʌ t	h a i r c u t
h ɛ ə d uː	h a i r d o
h ɛ ə ɹ ə n	h a i r e n
h ɛ ə p ɪ n	h a i r p i n
h ɛ ə ɹ z b ɹ ɛ d θ	h a i r s b r e a d t h
h ɛ ə ʃ ɜː t	h a i r s h i r t
h ɛ ə ɹ i	h a i r y
h e ɪ t͡ʃ	h a i t c h
h æ d͡ʒ	h a j j
h ɑː d͡ʒ	h a j j
h ʌ d͡ʒ	h a j j
h æ d͡ʒ i	h a j j i
h ɑː k ə	h a k a
h ɑ k ə p ɪ k	h a k a p i k
h e ɪ k	h a k e
h e ɪ k t	h a k e d
h e ɪ k s	h a k e s
h e ɪ k ɪ ŋ	h a k i n g
h ə l æ l	h a l a l
h ə l e ɪ ʃ ə n	h a l a t i o n
h æ l b ə d	h a l b e r d
h æ l b ɜː d	h a l b e r d
h æ l s i ə n	h a l c y o n
h e ɪ l	h a l e
h æ l ɪ k ɹ ɛ t	h a l e c r e t
h e ɪ l ə	h a l e r
h ɑː f	h a l f
h e ɪ p ə n s	h a l f p e n c e
h e ɪ p ə n i	h a l f p e n n y
h ɑː f p ɛ n i	h a l f p e n n y
h ɑː f w e ɪ	h a l f w a y
h æ l ɪ b ə t	h a l i b u t
h ɒ l ɪ b ə t	h a l i b u t
h ə l ɪ k ə ɹ iː	h a l i c o r e
h e ɪ l a ɪ d	h a l i d e
h æ l ɪ d ə m	h a l i d o m
h e ɪ l a ɪ t	h a l i t e
h æ l a ɪ t	h a l i t e
h æ l ɪ t ə ʊ s ɪ s	h a l i t o s i s
h ɔː l	h a l l
h ɔː l ɪ d͡ʒ	h a l l a g e
h æ l ɪ k ɹ ɛ t	h a l l e c r e t
h æ l ə l j uː j ə	h a l l e l u j a h
h ɔː l m ɑː k	h a l l m a r k
h æ l ə ʊ	h a l l o
h ə l ə ʊ	h a l l o
h æ l ə ʊ d	h a l l o e d
h æ l uː	h a l l o o
h ə l uː	h a l l o o
h ə l uː m i	h a l l o u m i
h æ l ə ʊ	h a l l o w
h æ l ə ʊ d	h a l l o w e d
h æ l ə ʊ z	h a l l o w s
h ə l j uː s ɪ n e ɪ t	h a l l u c i n a t e
h ə l uː s ɪ n e ɪ ʃ ə n	h a l l u c i n a t i o n
h ə l uː s ɪ n ə t ə r i	h a l l u c i n a t o r y
h æ l uː s ɪ n ə d ʒ ə n	h a l l u c i n o g e n
h ə l uː s ɪ n ə d ʒ ɛ n ɪ k	h a l l u c i n o g e n i c
h æ l ə k s	h a l l u x
h ɔː m	h a l m
h a l m ə	h a l m a
h ɔː l m ə ʊ t	h a l m o t e
h e ɪ l ə ʊ	h a l o
h e ɪ l ə ʊ b a ɪ ɒ t ɪ k	h a l o b i o t i c
h e ɪ l ə d͡ʒ ə n	h a l o g e n
h æ l ə d͡ʒ ə n	h a l o g e n
h a l ə ʊ p ɛ ɹ ɪ d ɒ l	h a l o p e r i d o l
h e ɪ l ə ʊ p ɛ ɹ ɪ d ɒ l	h a l o p e r i d o l
h æ l ə θ e ɪ n	h a l o t h a n e
h e ɪ l ə ʊ θ ɛ ɹ ə p i	h a l o t h e r a p y
h æ l p	h a l p
h ɔː l p	h a l p
h ɒ l t	h a l t
h ɔː l t	h a l t
